entry_time,side,entry_price,exit_price,gross_pnl,fees,slippage,net_pnl
1784351292,buy,63947,63938,-0.9000,4.4758,0.1000,-5.4758
1784351292,buy,63947,63937,-1.0000,4.4757,0.1000,-5.5757
1784351301,buy,63946,63936.5,-0.9500,4.4757,0.1000,-5.5257
1784351301,buy,63946,63937,-0.9000,4.4757,0.1000,-5.4757
1784351302,buy,63947,63937,-1.0000,4.4757,0.1000,-5.5757
1784351304,buy,63947,63937,-1.0000,4.4757,0.1000,-5.5757
1784351309,buy,63946,63934,-1.2000,4.4756,0.1000,-5.7756
1784351309,buy,63946,63934,-1.2000,4.4756,0.1000,-5.7756
1784351309,buy,63946,63933,-1.3000,4.4755,0.1000,-5.8755
1784351309,buy,63946,63933,-1.3000,4.4755,0.1000,-5.8755
1784351313,buy,63946,63930,-1.6000,4.4754,0.1000,-6.1754
1784351313,buy,63946,63927.5,-1.8500,4.4752,0.1000,-6.4252
1784351326,buy,63946,63926,-2.0000,4.4752,0.1000,-6.5752
1784351334,buy,63946,63925,-2.1000,4.4751,0.1000,-6.6751
1784351337,buy,63946,63925,-2.1000,4.4751,0.1000,-6.6751
1784351339,buy,63947,63925.5,-2.1500,4.4752,0.1000,-6.7252
1784351340,buy,63946,63925.5,-2.0500,4.4751,0.1000,-6.6251
1784351340,buy,63947,63925.5,-2.1500,4.4752,0.1000,-6.7252
1784351344,buy,63946,63925.5,-2.0500,4.4751,0.1000,-6.6251
1784351353,buy,63947,63926,-2.1000,4.4752,0.1000,-6.6752
1784351355,buy,63947,63926,-2.1000,4.4752,0.1000,-6.6752
1784351355,buy,63947,63926,-2.1000,4.4752,0.1000,-6.6752
1784351356,buy,63946,63926,-2.0000,4.4752,0.1000,-6.5752
1784351366,buy,63946,63927,-1.9000,4.4752,0.1000,-6.4752
1784351370,buy,63939,63927,-1.2000,4.4751,0.1000,-5.7751
